0001 function mpc = case118
0002 %CASE118    Power flow data for IEEE 118 bus test case.
0003 %   Please see CASEFORMAT for details on the case file format.
0004 %   This data was converted from IEEE Common Data Format
0005 %   (ieee118cdf.txt) on 15-Oct-2014 by cdf2matp, rev. 2393
0006 %   See end of file for warnings generated during conversion.
0007 %
0008 %   Converted from IEEE CDF file from:
0009 %       http://www.ee.washington.edu/research/pstca/
0010 %   With baseKV data take from the PSAP format file from the same site,
0011 %   added manually on 10-Mar-2006.
0012 %
0013 %   08/25/93 UW ARCHIVE           100.0  1961 W IEEE 118 Bus Test Case
0014 
0015 %   MATPOWER
0016 %   $Id: case118.m 2394 2014-10-15 20:39:39Z ray $
0017 
0018 %% MATPOWER Case Format : Version 2
0019 mpc.version = '2';
0020 
0021 %%-----  Power Flow Data  -----%%
0022 %% system MVA base
0023 mpc.baseMVA = 100;
0024 
0025 %% bus data
0026 %    bus_i    type    Pd    Qd    Gs    Bs    area    Vm    Va    baseKV    zone    Vmax    Vmin
0113     86    1    21    10    0    0    1    0.987    31.14    138    1    1.06    0.94;
0114     87    2    0    0    0    0    1    1.015    31.4    161    1    1.06    0.94;
0115     88    1    48    10    0    0    1    0.987    35.64    138    1    1.06    0.94;
0116     89    2    0    0    0    0    1    1.005    39.69    138    1    1.06    0.94;
0117     90    2    163    42    0    0    1    0.985    33.29    138    1    1.06    0.94;
0118     91    2    10    0    0    0    1    0.98    33.31    138    1    1.06    0.94;
0119     92    2    65    10    0    0    1    0.993    33.8    138    1    1.06    0.94;
0120     93    1    12    7    0    0    1    0.987    30.79    138    1    1.06    0.94;
0121     94    1    30    16    0    0    1    0.991    28.64    138    1    1.06    0.94;
0122     95    1    42    31    0    0    1    0.981    27.67    138    1    1.06    0.94;
0123     96    1    38    15    0    0    1    0.993    27.51    138    1    1.06    0.94;
0124     97    1    15    9    0    0    1    1.011    27.88    138    1    1.06    0.94;
0125     98    1    34    8    0    0    1    1.024    27.4    138    1    1.06    0.94;
0126     99    2    42    0    0    0    1    1.01    27.04    138    1    1.06    0.94;
0127     100    2    37    18    0    0    1    1.017    28.03    138    1    1.06    0.94;
0128     101    1    22    15    0    0    1    0.993    29.61    138    1    1.06    0.94;
0129     102    1    5    3    0    0    1    0.991    32.3    138    1    1.06    0.94;
0130     103    2    23    16    0    0    1    1.001    24.44    138    1    1.06    0.94;
0131     104    2    38    25    0    0    1    0.971    21.69    138    1    1.06    0.94;
0132     105    2    31    26    0    20    1    0.965    20.57    138    1    1.06    0.94;
0133     106    1    43    16    0    0    1    0.962    20.32    138    1    1.06    0.94;
0134     107    2    50    12    0    6    1    0.952    17.53    138    1    1.06    0.94;
0135     108    1    2    1    0    0    1    0.967    19.38    138    1    1.06    0.94;
0136     109    1    8    3    0    0    1    0.967    18.93    138    1    1.06    0.94;
0137     110    2    39    30    0    6    1    0.973    18.09    138    1    1.06    0.94;
0138     111    2    0    0    0    0    1    0.98    19.74    138    1    1.06    0.94;
0139     112    2    68    13    0    0    1    0.975    14.99    138    1    1.06    0.94;
0140     113    2    6    0    0    0    1    0.993    13.74    138    1    1.06    0.94;
0141     114    1    8    3    0    0    1    0.96    14.46    138    1    1.06    0.94;
0142     115    1    22    7    0    0    1    0.96    14.46    138    1    1.06    0.94;
0143     116    2    184    0    0    0    1    1.005    27.12    138    1    1.06    0.94;
0144     117    1    20    8    0    0    1    0.974    10.67    138    1    1.06    0.94;
0145     118    1    33    15    0    0    1    0.949    21.92    138    1    1.06    0.94;
0146 ];
0147 
0148 %% generator data
0149 %    bus    Pg    Qg    Qmax    Qmin    Vg    mBase    status    Pmax    Pmin    Pc1    Pc2    Qc1min    Qc1max    Qc2min    Qc2max    ramp_agc    ramp_10    ramp_30    ramp_q    apf
0150 mpc.gen = [
0151     1    0    0    15    -5    0.955    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0152     4    0    0    300    -300    0.998    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0153     6    0    0    50    -13    0.99    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0154     8    0    0    300    -300    1.015    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0155     10    450    0    200    -147    1.05    100    1    550    0    0    0    0    0    0    0    0    0    0    0    0;
0156     12    85    0    120    -35    0.99    100    1    185    0    0    0    0    0    0    0    0    0    0    0    0;
0157     15    0    0    30    -10    0.97    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0158     18    0    0    50    -16    0.973    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0159     19    0    0    24    -8    0.962    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0160     24    0    0    300    -300    0.992    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0161     25    220    0    140    -47    1.05    100    1    320    0    0    0    0    0    0    0    0    0    0    0    0;
0162     26    314    0    1000    -1000    1.015    100    1    414    0    0    0    0    0    0    0    0    0    0    0    0;
0163     27    0    0    300    -300    0.968    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0164     31    7    0    300    -300    0.967    100    1    107    0    0    0    0    0    0    0    0    0    0    0    0;
0165     32    0    0    42    -14    0.963    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0166     34    0    0    24    -8    0.984    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0167     36    0    0    24    -8    0.98    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0168     40    0    0    300    -300    0.97    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0169     42    0    0    300    -300    0.985    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0170     46    19    0    100    -100    1.005    100    1    119    0    0    0    0    0    0    0    0    0    0    0    0;
0171     49    204    0    210    -85    1.025    100    1    304    0    0    0    0    0    0    0    0    0    0    0    0;
0172     54    48    0    300    -300    0.955    100    1    148    0    0    0    0    0    0    0    0    0    0    0    0;
0173     55    0    0    23    -8    0.952    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0174     56    0    0    15    -8    0.954    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0175     59    155    0    180    -60    0.985    100    1    255    0    0    0    0    0    0    0    0    0    0    0    0;
0176     61    160    0    300    -100    0.995    100    1    260    0    0    0    0    0    0    0    0    0    0    0    0;
0177     62    0    0    20    -20    0.998    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0178     65    391    0    200    -67    1.005    100    1    491    0    0    0    0    0    0    0    0    0    0    0    0;
0179     66    392    0    200    -67    1.05    100    1    492    0    0    0    0    0    0    0    0    0    0    0    0;
0180     69    516.4    0    300    -300    1.035    100    1    805.2    0    0    0    0    0    0    0    0    0    0    0    0;
0181     70    0    0    32    -10    0.984    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0182     72    0    0    100    -100    0.98    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0183     73    0    0    100    -100    0.991    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0184     74    0    0    9    -6    0.958    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0185     76    0    0    23    -8    0.943    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0186     77    0    0    70    -20    1.006    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0187     80    477    0    280    -165    1.04    100    1    577    0    0    0    0    0    0    0    0    0    0    0    0;
0188     85    0    0    23    -8    0.985    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0189     87    4    0    1000    -100    1.015    100    1    104    0    0    0    0    0    0    0    0    0    0    0    0;
0190     89    607    0    300    -210    1.005    100    1    707    0    0    0    0    0    0    0    0    0    0    0    0;
0191     90    0    0    300    -300    0.985    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0192     91    0    0    100    -100    0.98    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0193     92    0    0    9    -3    0.99    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0194     99    0    0    100    -100    1.01    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0195     100    252    0    155    -50    1.017    100    1    352    0    0    0    0    0    0    0    0    0    0    0    0;
0196     103    40    0    40    -15    1.01    100    1    140    0    0    0    0    0    0    0    0    0    0    0    0;
0197     104    0    0    23    -8    0.971    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0198     105    0    0    23    -8    0.965    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0199     107    0    0    200    -200    0.952    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0200     110    0    0    23    -8    0.973    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0201     111    36    0    1000    -100    0.98    100    1    136    0    0    0    0    0    0    0    0    0    0    0    0;
0202     112    0    0    1000    -100    0.975    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0203     113    0    0    200    -100    0.993    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0204     116    0    0    1000    -1000    1.005    100    1    100    0    0    0    0    0    0    0    0    0    0    0    0;
0205 ];
0206 
0207 %% branch data
0208 %    fbus    tbus    r    x    b    rateA    rateB    rateC    ratio    angle    status    angmin    angmax
0209 mpc.branch = [
0210     1    2    0.0303    0.0999    0.0254    0    0    0    0    0    1    -360    360;
0211     1    3    0.0129    0.0424    0.01082    0    0    0    0    0    1    -360    360;
0212     4    5    0.00176    0.00798    0.0021    0    0    0    0    0    1    -360    360;
0213     3    5    0.0241    0.108    0.0284    0    0    0    0    0    1    -360    360;
0214     5    6    0.0119    0.054    0.01426    0    0    0    0    0    1    -360    360;
0215     6    7    0.00459    0.0208    0.0055    0    0    0    0    0    1    -360    360;
0216     8    9    0.00244    0.0305    1.162    0    0    0    0    0    1    -360    360;
0217     8    5    0    0.0267    0    0    0    0    0.985    0    1    -360    360;
0218     9    10    0.00258    0.0322    1.23    0    0    0    0    0    1    -360    360;
0219     4    11    0.0209    0.0688    0.01748    0    0    0    0    0    1    -360    360;
0220     5    11    0.0203    0.0682    0.01738    0    0    0    0    0    1    -360    360;
0221     11    12    0.00595    0.0196    0.00502    0    0    0    0    0    1    -360    360;
0222     2    12    0.0187    0.0616    0.01572    0    0    0    0    0    1    -360    360;
0223     3    12    0.0484    0.16    0.0406    0    0    0    0    0    1    -360    360;
0224     7    12    0.00862    0.034    0.00874    0    0    0    0    0    1    -360    360;
0225     11    13    0.02225    0.0731    0.01876    0    0    0    0    0    1    -360    360;
0226     12    14    0.0215    0.0707    0.01816    0    0    0    0    0    1    -360    360;
0227     13    15    0.0744    0.2444    0.06268    0    0    0    0    0    1    -360    360;
0228     14    15    0.0595    0.195    0.0502    0    0    0    0    0    1    -360    360;
0229     12    16    0.0212    0.0834    0.0214    0    0    0    0    0    1    -360    360;
0230     15    17    0.0132    0.0437    0.0444    0    0    0    0    0    1    -360    360;
0231     16    17    0.0454    0.1801    0.0466    0    0    0    0    0    1    -360    360;
0232     17    18    0.0123    0.0505    0.01298    0    0    0    0    0    1    -360    360;
0233     18    19    0.01119    0.0493    0.01142    0    0    0    0    0    1    -360    360;
0234     19    20    0.0252    0.117    0.0298    0    0    0    0    0    1    -360    360;
0235     15    19    0.012    0.0394    0.0101    0    0    0    0    0    1    -360    360;
0236     20    21    0.0183    0.0849    0.0216    0    0    0    0    0    1    -360    360;
0237     21    22    0.0209    0.097    0.0246    0    0    0    0    0    1    -360    360;
0238     22    23    0.0342    0.159    0.0404    0    0    0    0    0    1    -360    360;
0239     23    24    0.0135    0.0492    0.0498    0    0    0    0    0    1    -360    360;
0240     23    25    0.0156    0.08    0.0864    0    0    0    0    0    1    -360    360;
0241     26    25    0    0.0382    0    0    0    0    0.96    0    1    -360    360;
0242     25    27    0.0318    0.163    0.1764    0    0    0    0    0    1    -360    360;
0243     27    28    0.01913    0.0855    0.0216    0    0    0    0    0    1    -360    360;
0244     28    29    0.0237    0.0943    0.0238    0    0    0    0    0    1    -360    360;
0245     30    17    0    0.0388    0    0    0    0    0.96    0    1    -360    360;
0246     8    30    0.00431    0.0504    0.514    0    0    0    0    0    1    -360    360;
0247     26    30    0.00799    0.086    0.908    0    0    0    0    0    1    -360    360;
0248     17    31    0.0474    0.1563    0.0399    0    0    0    0    0    1    -360    360;
0249     29    31    0.0108    0.0331    0.0083    0    0    0    0    0    1    -360    360;
0250     23    32    0.0317    0.1153    0.1173    0    0    0    0    0    1    -360    360;
0251     31    32    0.0298    0.0985    0.0251    0    0    0    0    0    1    -360    360;
0252     27    32    0.0229    0.0755    0.01926    0    0    0    0    0    1    -360    360;
0253     15    33    0.038    0.1244    0.03194    0    0    0    0    0    1    -360    360;
0254     19    34    0.0752    0.247    0.0632    0    0    0    0    0    1    -360    360;
0255     35    36    0.00224    0.0102    0.00268    0    0    0    0    0    1    -360    360;
0256     35    37    0.011    0.0497    0.01318    0    0    0    0    0    1    -360    360;
0257     33    37    0.0415    0.142    0.0366    0    0    0    0    0    1    -360    360;
0258     34    36    0.00871    0.0268    0.00568    0    0    0    0    0    1    -360    360;
0259     34    37    0.00256    0.0094    0.00984    0    0    0    0    0    1    -360    360;
0260     38    37    0    0.0375    0    0    0    0    0.935    0    1    -360    360;
0261     37    39    0.0321    0.106    0.027    0    0    0    0    0    1    -360    360;
0262     37    40    0.0593    0.168    0.042    0    0    0    0    0    1    -360    360;
0263     30    38    0.00464    0.054    0.422    0    0    0    0    0    1    -360    360;
0264     39    40    0.0184    0.0605    0.01552    0    0    0    0    0    1    -360    360;
0265     40    41    0.0145    0.0487    0.01222    0    0    0    0    0    1    -360    360;
0266     40    42    0.0555    0.183    0.0466    0    0    0    0    0    1    -360    360;
0267     41    42    0.041    0.135    0.0344    0    0    0    0    0    1    -360    360;
0268     43    44    0.0608    0.2454    0.06068    0    0    0    0    0    1    -360    360;
0269     34    43    0.0413    0.1681    0.04226    0    0    0    0    0    1    -360    360;
0270     44    45    0.0224    0.0901    0.0224    0    0    0    0    0    1    -360    360;
0271     45    46    0.04    0.1356    0.0332    0    0    0    0    0    1    -360    360;
0272     46    47    0.038    0.127    0.0316    0    0    0    0    0    1    -360    360;
0273     46    48    0.0601    0.189    0.0472    0    0    0    0    0    1    -360    360;
0274     47    49    0.0191    0.0625    0.01604    0    0    0    0    0    1    -360    360;
0275     42    49    0.0715    0.323    0.086    0    0    0    0    0    1    -360    360;
0276     42    49    0.0715    0.323    0.086    0    0    0    0    0    1    -360    360;
0277     45    49    0.0684    0.186    0.0444    0    0    0    0    0    1    -360    360;
0278     48    49    0.0179    0.0505    0.01258    0    0    0    0    0    1    -360    360;
0279     49    50    0.0267    0.0752    0.01874    0    0    0    0    0    1    -360    360;
0280     49    51    0.0486    0.137    0.0342    0    0    0    0    0    1    -360    360;
0281     51    52    0.0203    0.0588    0.01396    0    0    0    0    0    1    -360    360;
0282     52    53    0.0405    0.1635    0.04058    0    0    0    0    0    1    -360    360;
0283     53    54    0.0263    0.122    0.031    0    0    0    0    0    1    -360    360;
0284     49    54    0.073    0.289    0.0738    0    0    0    0    0    1    -360    360;
0285     49    54    0.0869    0.291    0.073    0    0    0    0    0    1    -360    360;
0286     54    55    0.0169    0.0707    0.0202    0    0    0    0    0    1    -360    360;
0287     54    56    0.00275    0.00955    0.00732    0    0    0    0    0    1    -360    360;
0288     55    56    0.00488    0.0151    0.00374    0    0    0    0    0    1    -360    360;
0289     56    57    0.0343    0.0966    0.0242    0    0    0    0    0    1    -360    360;
0290     50    57    0.0474    0.134    0.0332    0    0    0    0    0    1    -360    360;
0291     56    58    0.0343    0.0966    0.0242    0    0    0    0    0    1    -360    360;
0292     51    58    0.0255    0.0719    0.01788    0    0    0    0    0    1    -360    360;
0293     54    59    0.0503    0.2293    0.0598    0    0    0    0    0    1    -360    360;
0294     56    59    0.0825    0.251    0.0569    0    0    0    0    0    1    -360    360;
0295     56    59    0.0803    0.239    0.0536    0    0    0    0    0    1    -360    360;
0296     55    59    0.04739    0.2158    0.05646    0    0    0    0    0    1    -360    360;
0297     59    60    0.0317    0.145    0.0376    0    0    0    0    0    1    -360    360;
0298     59    61    0.0328    0.15    0.0388    0    0    0    0    0    1    -360    360;
0299     60    61    0.00264    0.0135    0.01456    0    0    0    0    0    1    -360    360;
0300     60    62    0.0123    0.0561    0.01468    0    0    0    0    0    1    -360    360;
0301     61    62    0.00824    0.0376    0.0098    0    0    0    0    0    1    -360    360;
0302     63    59    0    0.0386    0    0    0    0    0.96    0    1    -360    360;
0303     63    64    0.00172    0.02    0.216    0    0    0    0    0    1    -360    360;
0304     64    61    0    0.0268    0    0    0    0    0.985    0    1    -360    360;
0305     38    65    0.00901    0.0986    1.046    0    0    0    0    0    1    -360    360;
0306     64    65    0.00269    0.0302    0.38    0    0    0    0    0    1    -360    360;
0307     49    66    0.018    0.0919    0.0248    0    0    0    0    0    1    -360    360;
0308     49    66    0.018    0.0919    0.0248    0    0    0    0    0    1    -360    360;
0309     62    66    0.0482    0.218    0.0578    0    0    0    0    0    1    -360    360;
0310     62    67    0.0258    0.117    0.031    0    0    0    0    0    1    -360    360;
0311     65    66    0    0.037    0    0    0    0    0.935    0    1    -360    360;
0312     66    67    0.0224    0.1015    0.02682    0    0    0    0    0    1    -360    360;
0313     65    68    0.00138    0.016    0.638    0    0    0    0    0    1    -360    360;
0314     47    69    0.0844    0.2778    0.07092    0    0    0    0    0    1    -360    360;
0315     49    69    0.0985    0.324    0.0828    0    0    0    0    0    1    -360    360;
0316     68    69    0    0.037    0    0    0    0    0.935    0    1    -360    360;
0317     69    70    0.03    0.127    0.122    0    0    0    0    0    1    -360    360;
0318     24    70    0.00221    0.4115    0.10198    0    0    0    0    0    1    -360    360;
0319     70    71    0.00882    0.0355    0.00878    0    0    0    0    0    1    -360    360;
0320     24    72    0.0488    0.196    0.0488    0    0    0    0    0    1    -360    360;
0321     71    72    0.0446    0.18    0.04444    0    0    0    0    0    1    -360    360;
0322     71    73    0.00866    0.0454    0.01178    0    0    0    0    0    1    -360    360;
0323     70    74    0.0401    0.1323    0.03368    0    0    0    0    0    1    -360    360;
0324     70    75    0.0428    0.141    0.036    0    0    0    0    0    1    -360    360;
0325     69    75    0.0405    0.122    0.124    0    0    0    0    0    1    -360    360;
0326     74    75    0.0123    0.0406    0.01034    0    0    0    0    0    1    -360    360;
0327     76    77    0.0444    0.148    0.0368    0    0    0    0    0    1    -360    360;
0328     69    77    0.0309    0.101    0.1038    0    0    0    0    0    1    -360    360;
0329     75    77    0.0601    0.1999    0.04978    0    0    0    0    0    1    -360    360;
0330     77    78    0.00376    0.0124    0.01264    0    0    0    0    0    1    -360    360;
0331     78    79    0.00546    0.0244    0.00648    0    0    0    0    0    1    -360    360;
0332     77    80    0.017    0.0485    0.0472    0    0    0    0    0    1    -360    360;
0333     77    80    0.0294    0.105    0.0228    0    0    0    0    0    1    -360    360;
0334     79    80    0.0156    0.0704    0.0187    0    0    0    0    0    1    -360    360;
0335     68    81    0.00175    0.0202    0.808    0    0    0    0    0    1    -360    360;
0336     81    80    0    0.037    0    0    0    0    0.935    0    1    -360    360;
0337     77    82    0.0298    0.0853    0.08174    0    0    0    0    0    1    -360    360;
0338     82    83    0.0112    0.03665    0.03796    0    0    0    0    0    1    -360    360;
0339     83    84    0.0625    0.132    0.0258    0    0    0    0    0    1    -360    360;
0340     83    85    0.043    0.148    0.0348    0    0    0    0    0    1    -360    360;
0341     84    85    0.0302    0.0641    0.01234    0    0    0    0    0    1    -360    360;
0342     85    86    0.035    0.123    0.0276    0    0    0    0    0    1    -360    360;
0343     86    87    0.02828    0.2074    0.0445    0    0    0    0    0    1    -360    360;
0344     85    88    0.02    0.102    0.0276    0    0    0    0    0    1    -360    360;
0345     85    89    0.0239    0.173    0.047    0    0    0    0    0    1    -360    360;
0346     88    89    0.0139    0.0712    0.01934    0    0    0    0    0    1    -360    360;
0347     89    90    0.0518    0.188    0.0528    0    0    0    0    0    1    -360    360;
0348     89    90    0.0238    0.0997    0.106    0    0    0    0    0    1    -360    360;
0349     90    91    0.0254    0.0836    0.0214    0    0    0    0    0    1    -360    360;
0350     89    92    0.0099    0.0505    0.0548    0    0    0    0    0    1    -360    360;
0351     89    92    0.0393    0.1581    0.0414    0    0    0    0    0    1    -360    360;
0352     91    92    0.0387    0.1272    0.03268    0    0    0    0    0    1    -360    360;
